No de factura;Fecha de factura;ID Cliente;Pai­s;Cantidad;Monto
558736;07/01/2021;18075;United Kingdom;-4;-18
577080;11/17/2021;17001;United Kingdom;172;358
560048;7/14/2021;13515;United Kingdom;127;132
566963;9/15/2021;17573;United Kingdom;-6;-18
568709;9/28/2021;15036;United Kingdom;176;220
539651;12/20/2020;;United Kingdom;26;33
578171;11/23/2021;17685;United Kingdom;207;392
576400;11/15/2021;13632;United Kingdom;288;452
557640;6/21/2021;;United Kingdom;364;1761
543013;02/02/2021;;United Kingdom;310;1341
542083;1/25/2021;18008;United Kingdom;355;131
579759;11/30/2021;15251;United Kingdom;244;364
552215;05/06/2021;;United Kingdom;-41;0
537628;12/07/2020;16293;United Kingdom;189;379
542096;1/25/2021;17236;United Kingdom;141;199
549149;04/06/2021;;United Kingdom;-43;0
541284;1/17/2021;17744;United Kingdom;-36;-31
576909;11/17/2021;12471;Germany;519;1072
560105;7/14/2021;16794;United Kingdom;263;222
541709;1/21/2021;17504;United Kingdom;233;441
578272;11/23/2021;17463;United Kingdom;126;198
555363;06/02/2021;14453;United Kingdom;49;120
566033;09/08/2021;16031;United Kingdom;204;243
571545;10/17/2021;;United Kingdom;11;14
562155;08/03/2021;17940;United Kingdom;648;162
575142;11/08/2021;17183;United Kingdom;-30;-38
561047;7/24/2021;16948;United Kingdom;1368;194
544442;2/20/2021;15465;United Kingdom;-3;-33
568527;9/27/2021;13178;United Kingdom;539;765
563382;8/16/2021;18221;United Kingdom;145;170
560220;7/15/2021;14572;United Kingdom;-1;-13
548647;04/01/2021;12888;United Kingdom;-3;-30
549196;04/07/2021;14911;EIRE;271;356
577599;11/21/2021;15738;United Kingdom;202;317
569567;10/05/2021;16059;United Kingdom;40;105
576347;11/14/2021;13268;United Kingdom;2;8
544569;2/21/2021;16980;United Kingdom;418;732
542865;02/01/2021;12929;United Kingdom;37;118
562789;08/09/2021;14646;Netherlands;7807;12341
567798;9/22/2021;13089;United Kingdom;331;887
539838;12/22/2020;13458;United Kingdom;-10;-17
565577;09/05/2021;14177;United Kingdom;2;8
550915;4/21/2021;13263;United Kingdom;69;134
541293;1/17/2021;15311;United Kingdom;145;395
578688;11/25/2021;16719;United Kingdom;235;293
560896;7/21/2021;15623;United Kingdom;125;301
561711;7/29/2021;13414;United Kingdom;368;533
575385;11/09/2021;15916;United Kingdom;-3;-19
571023;10/13/2021;15239;United Kingdom;-3;-16
575701;11/10/2021;13396;United Kingdom;461;974
547886;3/28/2021;13652;United Kingdom;178;329
562467;08/05/2021;13513;United Kingdom;109;205
563927;8/21/2021;14013;United Kingdom;258;199
565229;09/02/2021;17450;United Kingdom;-1;-200
581471;12/08/2021;14702;United Kingdom;76;199
573230;10/28/2021;13199;United Kingdom;48;86
568656;9/28/2021;14911;EIRE;70;142
554502;5/24/2021;14289;United Kingdom;26;125
581017;12/07/2021;14910;United Kingdom;80;111
540118;01/05/2021;;United Kingdom;-1;-16454
540116;01/05/2021;;United Kingdom;2;10
546428;3/13/2021;12681;France;185;343
571090;10/13/2021;15271;United Kingdom;34;80
540856;01/12/2021;16655;United Kingdom;373;812
568242;9/26/2021;14931;Channel Islands;181;262
557599;6/21/2021;;United Kingdom;-1440;0
550713;4/20/2021;15159;United Kingdom;1;13
542100;1/25/2021;15339;United Kingdom;159;258
549833;04/12/2021;13458;United Kingdom;666;1015
571918;10/19/2021;17350;United Kingdom;240;156
566983;9/16/2021;;United Kingdom;1;0
537432;12/06/2020;;United Kingdom;-43;0
537759;12/08/2020;13126;United Kingdom;108;204
554128;5/23/2021;;United Kingdom;-4;0
555940;06/08/2021;14191;United Kingdom;98;358
574318;11/03/2021;16729;United Kingdom;-7;-20
560834;7/21/2021;16523;United Kingdom;204;484
554366;5/24/2021;17450;United Kingdom;3084;9468
566520;9/13/2021;17757;United Kingdom;61;161
537471;12/07/2020;14344;United Kingdom;3;18
562034;08/02/2021;12449;Belgium;267;778
562709;08/08/2021;17511;United Kingdom;-11;-29
572516;10/24/2021;;United Kingdom;-71;0
561108;7/25/2021;;United Kingdom;-7;0
568332;9/26/2021;13434;United Kingdom;240;461
556823;6/15/2021;;United Kingdom;8;78
574010;11/02/2021;17841;United Kingdom;-3;-10
537456;12/07/2020;17450;United Kingdom;780;1989
569693;10/05/2021;17837;United Kingdom;105;251
573131;10/27/2021;15622;United Kingdom;106;382
540099;01/04/2021;15808;United Kingdom;322;734
546220;03/10/2021;16745;United Kingdom;584;541
578039;11/22/2021;17338;United Kingdom;-1;-11
560252;7/17/2021;13468;United Kingdom;61;116
569653;10/05/2021;12451;Switzerland;1650;2540
553545;5/17/2021;;United Kingdom;68;430
575475;11/09/2021;17702;United Kingdom;302;486
575703;11/10/2021;13767;United Kingdom;902;1735
556279;06/09/2021;14562;United Kingdom;59;215
578951;11/27/2021;15514;United Kingdom;277;499
578947;11/27/2021;14547;United Kingdom;438;535
570129;10/07/2021;12885;United Kingdom;293;519
566607;9/13/2021;13032;United Kingdom;175;496
580887;12/06/2021;13755;United Kingdom;80;157
561682;7/28/2021;13631;United Kingdom;-7;-49
552523;05/09/2021;15797;United Kingdom;200;330
541263;1/16/2021;16843;United Kingdom;534;759
542796;02/01/2021;17356;United Kingdom;166;178
566776;9/15/2021;14911;EIRE;226;368
544170;2/16/2021;16148;United Kingdom;72;76
539469;12/19/2020;17841;United Kingdom;152;284
549670;04/11/2021;16168;United Kingdom;88;141
573902;11/01/2021;17428;United Kingdom;48;311
544826;2/24/2021;14513;United Kingdom;7;19
541086;1/13/2021;16503;United Kingdom;118;354
543824;2/14/2021;14631;United Kingdom;160;310
552464;05/09/2021;12726;France;333;223
567359;9/19/2021;15201;United Kingdom;-14;-9
551515;05/01/2021;15606;United Kingdom;104;321
540160;01/05/2021;15769;United Kingdom;1032;2574
565631;09/05/2021;14680;United Kingdom;568;1226
580281;12/02/2021;12704;Finland;81;199
559157;07/06/2021;13999;United Kingdom;167;307
566257;09/11/2021;13324;United Kingdom;680;856
568724;9/28/2021;;United Kingdom;-21;0
554286;5/23/2021;17686;United Kingdom;97;387
546741;3/16/2021;13261;United Kingdom;20;99
546029;03/09/2021;15206;United Kingdom;6;18
543278;02/06/2021;16745;United Kingdom;406;204
540630;01/10/2021;17849;United Kingdom;19;218
559817;07/12/2021;;United Kingdom;652;1840
547563;3/24/2021;15651;United Kingdom;238;227
554105;5/22/2021;14711;United Kingdom;111;213
539442;12/17/2020;16558;United Kingdom;127;311
563952;8/22/2021;15572;United Kingdom;267;679
545162;2/28/2021;16187;United Kingdom;247;481
564966;8/31/2021;17677;United Kingdom;24;35
578354;11/24/2021;17139;United Kingdom;232;469
555729;06/06/2021;13552;United Kingdom;-14;-129
550986;4/21/2021;;United Kingdom;378;1655
572926;10/27/2021;15659;United Kingdom;111;306
570292;10/10/2021;13418;United Kingdom;124;371
550972;4/21/2021;14031;United Kingdom;46;100
541850;1/23/2021;14224;United Kingdom;99;244
573124;10/27/2021;13654;United Kingdom;24;100
565597;09/05/2021;12709;Germany;-5;-19
571080;10/13/2021;13719;United Kingdom;77;250
565420;09/04/2021;16326;United Kingdom;85;313
554633;5/25/2021;14287;United Kingdom;144;17
543464;02/08/2021;16779;United Kingdom;308;364
540852;01/12/2021;15197;United Kingdom;-12;-419
553655;5/18/2021;16775;United Kingdom;31;115
553559;5/17/2021;14931;Channel Islands;1;293
551391;4/28/2021;15514;United Kingdom;152;385
559491;07/08/2021;;United Kingdom;119;646
544391;2/18/2021;15755;United Kingdom;198;315
538692;12/14/2020;13599;United Kingdom;-2;-7
542402;1/27/2021;16124;United Kingdom;-7;-62
542505;1/28/2021;;United Kingdom;2560;0
575039;11/08/2021;15005;United Kingdom;245;327
544098;2/16/2021;16019;United Kingdom;396;1129
566472;09/12/2021;16187;United Kingdom;-8;-40
548997;04/05/2021;;United Kingdom;20;0
562577;08/07/2021;15518;United Kingdom;-1;-2
557879;6/23/2021;14911;EIRE;-1;-4
579495;11/29/2021;13576;United Kingdom;180;327
565852;09/07/2021;;United Kingdom;7;14
569550;10/04/2021;15955;United Kingdom;10;9
556827;6/15/2021;15134;United Kingdom;101;172
541278;1/17/2021;14135;United Kingdom;52;167
553192;5/15/2021;15333;United Kingdom;344;1029
549502;04/08/2021;;United Kingdom;1;0
548739;04/04/2021;15493;United Kingdom;106;412
562949;08/11/2021;14346;United Kingdom;501;759
542806;02/01/2021;12836;United Kingdom;254;799
573757;11/01/2021;17166;United Kingdom;21;79
542925;02/02/2021;14457;United Kingdom;88;114
545158;2/28/2021;15874;United Kingdom;52;584
549826;04/12/2021;15044;United Kingdom;114;441
573830;11/01/2021;16960;United Kingdom;76;149
548196;3/29/2021;16011;United Kingdom;63;119
575331;11/09/2021;13209;United Kingdom;593;1050
566491;9/13/2021;14060;United Kingdom;216;294
556514;6/13/2021;;United Kingdom;2;23
572670;10/25/2021;13685;United Kingdom;1524;594
554356;5/24/2021;12670;France;210;393
570868;10/12/2021;;United Kingdom;96;0
549264;04/07/2021;;United Kingdom;-21;0
566062;09/08/2021;14522;United Kingdom;251;482
545598;03/04/2021;;United Kingdom;-278;0
542965;02/02/2021;;United Kingdom;2;0
551293;4/27/2021;14298;United Kingdom;618;429
543743;02/11/2021;12505;Italy;-1;-5
546191;03/10/2021;16422;United Kingdom;-35;-25
577131;11/17/2021;15861;United Kingdom;-1;-165
574747;11/07/2021;15618;United Kingdom;239;358
555846;06/07/2021;14180;United Kingdom;21;149
540455;01/07/2021;12583;France;491;730
573293;10/28/2021;;United Kingdom;10;0
562721;08/08/2021;15985;United Kingdom;208;243
545021;2/25/2021;17663;United Kingdom;179;371
555367;06/02/2021;17900;United Kingdom;49;80
569907;10/06/2021;12569;Germany;13;77
559819;07/12/2021;12682;France;117;257
570331;10/10/2021;14606;United Kingdom;-1;0
565284;09/02/2021;12471;Germany;-13;-85
575579;11/10/2021;13081;United Kingdom;144;72
567918;9/22/2021;;United Kingdom;-1;0
578665;11/24/2021;16570;United Kingdom;208;427
547796;3/25/2021;14646;Netherlands;731;1408
554967;5/27/2021;;United Kingdom;1;6
538531;12/13/2020;13715;United Kingdom;-2;-8
543032;02/02/2021;12990;United Kingdom;50;98
562166;08/03/2021;13209;United Kingdom;524;595
561684;7/28/2021;13136;United Kingdom;-2;-17
556235;06/09/2021;12778;Netherlands;85;84
571741;10/19/2021;15610;United Kingdom;66;112
546217;03/10/2021;14057;United Kingdom;-168;-71
537354;12/06/2020;12748;United Kingdom;85;133
560576;7/19/2021;17287;United Kingdom;110;202
581253;12/08/2021;16891;United Kingdom;28;116
576368;11/14/2021;;United Kingdom;-864;0
572913;10/26/2021;15993;United Kingdom;678;864
547324;3/22/2021;13014;United Kingdom;108;318
551900;05/05/2021;;United Kingdom;2;0
572534;10/24/2021;;United Kingdom;-2;0
579489;11/29/2021;16775;United Kingdom;27;129
565480;09/05/2021;18273;United Kingdom;40;102
565369;09/02/2021;;United Kingdom;1;0
551558;05/03/2021;17841;United Kingdom;152;328
558202;6/27/2021;17841;United Kingdom;-3;-7
536614;12/02/2020;17850;United Kingdom;12;22
559525;07/10/2021;16923;United Kingdom;214;392
543643;02/10/2021;16161;United Kingdom;-12;-29
536920;12/03/2020;;United Kingdom;58;69
560714;7/20/2021;14456;United Kingdom;20;26
548746;04/04/2021;12471;Germany;40;50
566248;09/11/2021;13272;United Kingdom;72;141
577364;11/18/2021;14140;United Kingdom;-2;-15
565475;09/05/2021;14156;EIRE;5034;7480
565424;09/04/2021;15215;United Kingdom;92;300
540350;01/06/2021;18283;United Kingdom;61;108
553612;5/18/2021;17556;United Kingdom;101;158
540274;01/06/2021;14618;United Kingdom;92;212
550996;4/26/2021;16681;United Kingdom;260;315
581580;12/09/2021;12748;United Kingdom;82;94
554519;5/24/2021;13549;United Kingdom;-1;-2
573987;11/02/2021;;United Kingdom;1;0
574149;11/03/2021;13709;United Kingdom;293;775
544408;2/18/2021;16726;United Kingdom;106;61
540273;01/06/2021;17368;United Kingdom;711;563
578993;11/27/2021;15987;United Kingdom;182;245
581395;12/08/2021;16892;United Kingdom;35;123
543279;02/06/2021;17105;United Kingdom;359;319
546204;03/10/2021;13599;United Kingdom;-25;-12
577813;11/22/2021;14297;United Kingdom;458;580
545103;2/28/2021;15039;United Kingdom;2;12
552245;05/06/2021;12748;United Kingdom;14;109
546416;3/13/2021;14800;United Kingdom;-8;-11
542905;02/01/2021;12540;Spain;193;289
574705;11/06/2021;14553;United Kingdom;21;194
564951;8/31/2021;;United Kingdom;1;8
565141;09/01/2021;17841;United Kingdom;212;354
576185;11/14/2021;;United Kingdom;-130;0
562796;08/09/2021;13694;United Kingdom;-1;-64
560246;7/17/2021;14292;United Kingdom;328;1353
554026;5/20/2021;13324;United Kingdom;376;649
549968;4/13/2021;14064;United Kingdom;-432;-156
568135;9/23/2021;;United Kingdom;664;1935
574952;11/08/2021;13924;United Kingdom;123;172
564095;8/23/2021;14930;Channel Islands;52;166
577298;11/18/2021;14299;United Kingdom;497;526
557886;6/23/2021;17799;United Kingdom;233;580
536884;12/03/2020;14589;United Kingdom;5;40
572676;10/25/2021;16258;United Kingdom;649;1462
557126;6/16/2021;18168;United Kingdom;83;115
557118;6/16/2021;14849;United Kingdom;254;364
562885;08/10/2021;14024;United Kingdom;51;65
576906;11/17/2021;18225;United Kingdom;575;616
578274;11/23/2021;17828;Malta;-8;-31
552248;05/06/2021;12748;United Kingdom;3;7
556314;06/10/2021;;United Kingdom;-84;0
560997;7/22/2021;12627;Germany;426;768
551567;05/03/2021;;United Kingdom;13;0
569702;10/05/2021;14396;United Kingdom;186;378
580372;12/02/2021;16359;United Kingdom;91;111
543121;02/03/2021;12662;Germany;184;337
565240;09/02/2021;17949;United Kingdom;372;1047
539338;12/17/2020;17404;Sweden;3714;2646
577390;11/18/2021;18276;United Kingdom;-1;-6
571439;10/17/2021;17206;United Kingdom;76;204
566667;9/14/2021;14660;United Kingdom;124;157
538879;12/14/2020;15392;United Kingdom;402;339
546520;3/14/2021;14911;EIRE;498;707
576397;11/15/2021;13081;United Kingdom;-3;-30
559981;7/14/2021;14562;United Kingdom;246;604
543194;02/04/2021;;United Kingdom;-217;0
565426;09/04/2021;12851;United Kingdom;109;135
578999;11/27/2021;17595;United Kingdom;144;231
543049;02/03/2021;;United Kingdom;320;0
577158;11/18/2021;16293;United Kingdom;135;343
550172;4/14/2021;17440;United Kingdom;-3;-1
569249;10/03/2021;14092;United Kingdom;153;351
536370;12/01/2020;12583;France;449;856
580561;12/05/2021;;United Kingdom;-9;0
572477;10/24/2021;;United Kingdom;-15;0
564040;8/22/2021;14560;United Kingdom;16;57
549983;4/13/2021;16348;United Kingdom;77;157
567628;9/21/2021;14060;United Kingdom;646;739
558389;6/29/2021;14383;United Kingdom;201;242
567917;9/22/2021;14298;United Kingdom;2235;1365
579121;11/28/2021;17299;United Kingdom;69;91
549533;04/08/2021;12408;Belgium;-3;-15
565324;09/02/2021;13232;United Kingdom;105;170
567208;9/19/2021;;United Kingdom;2;0
575048;11/08/2021;;United Kingdom;-15;0
548148;3/29/2021;17931;United Kingdom;164;297
580658;12/05/2021;17090;United Kingdom;122;224
580308;12/02/2021;14250;United Kingdom;138;240
563177;08/12/2021;17293;United Kingdom;1;65
571622;10/18/2021;14798;United Kingdom;46;76
578029;11/22/2021;16985;United Kingdom;285;861
543907;2/14/2021;17346;United Kingdom;62;106
553205;5/16/2021;15813;United Kingdom;234;533
577393;11/18/2021;14031;United Kingdom;806;2068
560589;7/19/2021;15249;United Kingdom;-17;-23
552972;05/12/2021;16043;United Kingdom;85;225
554997;5/29/2021;16746;United Kingdom;226;322
560600;7/19/2021;;United Kingdom;-2834;0
576326;11/14/2021;16504;United Kingdom;524;484
568150;9/25/2021;16689;United Kingdom;64;128
557670;6/22/2021;12798;Japan;2256;1607
562460;08/05/2021;17841;United Kingdom;169;246
579739;11/30/2021;16956;United Kingdom;-2;-16
576388;11/15/2021;17510;United Kingdom;214;308
569320;10/03/2021;15301;United Kingdom;-4;-35
542541;1/28/2021;;United Kingdom;345;1552
555836;06/07/2021;13098;United Kingdom;469;531
543273;02/06/2021;16456;United Kingdom;247;449
581399;12/08/2021;17528;United Kingdom;198;201
544905;2/24/2021;17117;United Kingdom;68;116
565389;09/02/2021;;United Kingdom;-16;0
573253;10/28/2021;17552;United Kingdom;-1;-4
577369;11/18/2021;14132;United Kingdom;-2;-6
576650;11/16/2021;14286;United Kingdom;1505;1936
549274;04/07/2021;12721;France;239;366
557505;6/20/2021;17490;United Kingdom;-5;-19
575710;11/10/2021;17901;United Kingdom;24;110
562788;08/09/2021;17669;United Kingdom;206;369
555286;06/02/2021;14298;United Kingdom;36;51
547528;3/23/2021;;United Kingdom;2;0
554667;5/25/2021;15727;United Kingdom;214;375
548991;04/05/2021;16915;United Kingdom;29;112
554709;5/26/2021;15769;United Kingdom;600;1086
570333;10/10/2021;18126;United Kingdom;144;207
556214;06/09/2021;14913;United Kingdom;455;301
569850;10/06/2021;16432;United Kingdom;276;287
557351;6/20/2021;16670;United Kingdom;4;13
571692;10/18/2021;13860;United Kingdom;7;27
563613;8/18/2021;12688;Israel;3028;4874
564821;8/30/2021;14078;United Kingdom;73;221
565123;09/01/2021;17949;United Kingdom;96;480
574480;11/04/2021;15010;United Kingdom;184;309
556516;6/13/2021;;United Kingdom;50;351
569684;10/05/2021;13947;United Kingdom;44;91
561878;7/31/2021;17388;United Kingdom;59;190
579000;11/27/2021;13991;United Kingdom;14;31
573586;10/31/2021;14704;United Kingdom;1;15
556271;06/09/2021;17483;United Kingdom;50;155
564900;8/31/2021;12948;United Kingdom;-3;-11
556495;06/12/2021;18069;United Kingdom;179;304
562042;08/02/2021;13075;United Kingdom;485;920
546854;3/17/2021;17511;United Kingdom;-19;-30
543043;02/02/2021;17848;United Kingdom;13;44
542535;1/28/2021;12735;France;105;460
552676;05/10/2021;;United Kingdom;106;864
555323;06/02/2021;;United Kingdom;29;204
545327;03/01/2021;13166;United Kingdom;216;417
541001;1/13/2021;16500;United Kingdom;1;165
